county,med_yr_moved_inraw,med_house_income,fam_house_per,age_u18,bach
Bristol County,2008,31883,0.499816244027931,0.143283582089552,0.0734423122482824
Bristol County,2004,37534,0.640737770649559,0.184191954834157,0.0524558893657606
Bristol County,2010,19164,0.463291139240506,0.218057921635434,0.0272835112692764
Bristol County,2011,29884,0.527932960893855,0.234493670886076,0.0707021791767554
Bristol County,2001,70886,0.653394589076059,0.176253527241155,0.115373352855051
Bristol County,1999,92728,0.740983606557377,0.184242635523793,0.138142922166591
Bristol County,2006,37216,0.573240329740013,0.157666762922322,0.0697583787996882
Bristol County,2006,36382,0.521383075523203,0.213743356112377,0.0920980926430518
Bristol County,2006,53147,0.614687216681777,0.2264631043257,0.159726183685111
Bristol County,2006,40563,0.657664813343924,0.242132305716121,0.0969387755102041
Bristol County,2001,101071,0.799613402061856,0.218450826805918,0.231771641327955
Bristol County,2002,83667,0.703333333333333,0.238500851788756,0.252600915522264
Bristol County,2002,92942,0.753453327752198,0.185286517707858,0.192631578947368
Bristol County,2008,53325,0.542541436464088,0.135505193578848,0.160485933503836
Worcester County,2001,97074,0.697606538237011,0.231653404067197,0.371491643014822
Worcester County,2005,89000,0.659698025551684,0.248155176048914,0.274528009904054
Worcester County,2010,59297,0.568627450980392,0.177787162162162,0.267685342388229
Worcester County,2011,23732,0.473794549266247,0.223788049605411,0.0895992796037821
Worcester County,2010,23505,0.561866125760649,0.23928498882795,0.0989043529760142
Worcester County,2003,125816,0.805717054263566,0.243202668890742,0.311908320876931
Worcester County,2008,75820,0.732906837265094,0.199404761904762,0.241536458333333
Worcester County,2000,101761,0.671146953405018,0.241813602015113,0.309409505520883
Worcester County,2004,90500,0.729706390328152,0.242817423540315,0.193053676138926
Worcester County,2003,94675,0.733991717107359,0.251777115340518,0.253866203301477
Worcester County,2011,41811,0.452574525745257,0.183091418385536,0.0541818181818182
Worcester County,2005,93205,0.680778032036613,0.225963736096297,0.21168037107316
Worcester County,2001,95595,0.763799743260591,0.183488132094943,0.290213028712566
Worcester County,2002,117368,0.820675105485232,0.235323259846421,0.303351573187415
Worcester County,2003,69907,0.601906158357771,0.162722757814782,0.310316481709823
Worcester County,2012,26208,0.193396226415094,0.123049001814882,0.176529090004973
Worcester County,2007,49400,0.392857142857143,0.0983248361252731,0.241379310344828
Worcester County,2002,125882,0.815675675675676,0.257127583749109,0.348516949152542
Worcester County,2003,89766,0.714144898965007,0.233352197698547,0.296644295302013
Worcester County,2006,77283,0.61535752025361,0.236886632825719,0.209071442476153
Worcester County,1999,101607,0.822565091610415,0.226839237057221,0.236430851957654
Worcester County,2010,33029,0.518683274021352,0.21002763521516,0.0494092373791622
Worcester County,2000,102978,0.779212395093609,0.264660998473948,0.221970920840065
Worcester County,1999,128006,0.788897576231431,0.190808609656777,0.277254901960784
Worcester County,2002,75855,0.680816326530612,0.105465339619347,0.158974358974359
Worcester County,2007,67477,0.654805575935437,0.209878374369623,0.191049187249314
Worcester County,2007,39696,0.656129529683886,0.278379920136908,0.0796045785639958
Bristol County,2007,42833,0.640953716690042,0.228258279723612,0.0716312056737589
Worcester County,2009,37981,0.639252336448598,0.239595579590877,0.137906395141122
Worcester County,2011,40319,0.489566613162119,0.226384800642226,0.046875
Worcester County,2002,90882,0.616918844566713,0.167006109979633,0.274309496783958
Bristol County,2004,72694,0.588041689522765,0.132868705035971,0.186910377358491
Bristol County,2008,46495,0.631578947368421,0.18588531821046,0.0648553900087642
Bristol County,2010,42727,0.491896272285251,0.157497642250865,0.17296786389414
Bristol County,2010,37637,0.662804878048781,0.275298988040478,0.0969428801287208
Bristol County,2011,35625,0.553191489361702,0.244783556524447,0.110408560311284
Bristol County,2010,26235,0.623915139826422,0.273921200750469,0.0816568047337278
Bristol County,2001,58633,0.555642023346304,0.141304347826087,0.211989574283232
Bristol County,2003,63775,0.637531216553692,0.197515904271433,0.182599795291709
Bristol County,2003,48571,0.471196454948301,0.174751243781095,0.171971889210418
Bristol County,2002,73259,0.585485854858549,0.136011477761836,0.237318197942533
Bristol County,2012,26618,0.503912363067293,0.247207207207207,0.0733262486716259
Bristol County,2008,48603,0.547619047619048,0.219018194301407,0.0928462709284627
Bristol County,2004,59363,0.643722115997451,0.219077161690578,0.172082717872969
Bristol County,2003,91156,0.744628390278267,0.242845993756504,0.219107340464773
Bristol County,2003,85332,0.689093701996928,0.202390033053649,0.214469398251329
Bristol County,2007,40074,0.636861313868613,0.221498371335505,0.100813008130081
Bristol County,2004,53158,0.618524332810047,0.192294918631684,0.169614512471655
Bristol County,2002,55625,0.614525139664804,0.18055152394775,0.103865677469738
Bristol County,2009,25409,0.542665388302972,0.180863948324586,0.14127569847127
Bristol County,2010,31250,0.666666666666667,0.312958435207824,0.0781344639612356
Bristol County,2002,78804,0.683006535947712,0.200463499420626,0.178906502749919
Bristol County,2010,38942,0.551724137931034,0.200761421319797,0.0817341862117981
Bristol County,2011,32543,0.548875631023405,0.26741922927209,0.0657698056801196
Bristol County,2006,60878,0.636497968230514,0.245327102803738,0.0977740794674433
Bristol County,2003,93017,0.744460856720827,0.198574885721968,0.163338357196684
Bristol County,2002,80169,0.740641711229946,0.220219244823386,0.178691840863115
Bristol County,2003,112652,0.827119883040936,0.270823302840636,0.282319049333813
Bristol County,2006,85558,0.635141622659626,0.205550049554014,0.254393546528378
Bristol County,2007,67301,0.771454381210479,0.219765031098825,0.18452380952381
Bristol County,2009,31031,0.707948243992606,0.274769153980534,0.044147428108546
Bristol County,2007,44861,0.632192279679534,0.184897853633307,0.0800598578376356
Bristol County,1998,63482,0.688832670762559,0.163192904656319,0.191545080433969
Worcester County,2010,48313,0.574106827025115,0.217587074559661,0.178440179665169
Worcester County,2003,61859,0.602216748768473,0.2,0.152173913043478
Worcester County,2011,49477,0.59971098265896,0.251916757940854,0.153910149750416
Worcester County,2006,58032,0.629477993858751,0.163819456932206,0.150840634619938
Worcester County,2005,73125,0.626546681664792,0.203237803544082,0.193911719939117
Worcester County,2010,50752,0.576623376623377,0.165727170236753,0.0969793322734499
Worcester County,2004,89054,0.69622641509434,0.210945000685777,0.2274
Worcester County,2002,73555,0.676796714579055,0.173630136986301,0.216289592760181
Worcester County,2007,54542,0.71264367816092,0.282442748091603,0.138963360142985
Worcester County,2004,64219,0.616467276565799,0.197592483852026,0.228725452445129
Worcester County,2006,51679,0.746120422098076,0.262409638554217,0.112314915131817
Worcester County,2003,69552,0.644346871569704,0.216659216212189,0.179911931222479
Worcester County,2005,53393,0.743888242142026,0.2505254308533,0.12586532410321
Worcester County,2004,79758,0.666996373227827,0.2052067381317,0.308504826079038
Worcester County,2001,65813,0.644808743169399,0.21845001170686,0.190869996692028
Worcester County,2005,77202,0.666963490650045,0.131037780966045,0.300101214574899
Worcester County,2011,22779,0.437171244886032,0.230310262529833,0.0495419070240923
Worcester County,2013,24052,0.167738970588235,0.0263956310679612,0.257648359749355
Worcester County,2001,79500,0.69215291750503,0.231354091238233,0.242455775234131
Worcester County,2004,83302,0.756260434056761,0.214497920380273,0.186652078774617
Worcester County,2006,88654,0.654057771664374,0.237743084086552,0.30686612965094
Worcester County,2010,52857,0.619360902255639,0.260551678298438,0.0865504358655044
Worcester County,2000,85064,0.805335968379447,0.268438003220612,0.260537342864185
Worcester County,2002,77683,0.724358974358974,0.222319602687701,0.113423092615259
Worcester County,2001,70682,0.717472118959108,0.164100769769069,0.150280898876405
Worcester County,2001,100071,0.738700564971751,0.218213058419244,0.270325203252033
Worcester County,2011,17292,0.374407582938389,0.145341614906832,0.0642361111111111
Worcester County,2004,73133,0.683168316831683,0.203781512605042,0.137724550898204
Worcester County,2003,71324,0.618437900128041,0.15327176262527,0.203420891875382
Worcester County,2001,102500,0.793090638930163,0.2485,0.287661275667818
Worcester County,2002,85224,0.718303946263644,0.168351284175642,0.163905060456785
Worcester County,2006,62943,0.6489597166888,0.162822517591869,0.223246287762417
Worcester County,2007,60313,0.560546875,0.202096680256261,0.251752021563342
Bristol County,1997,77241,0.778445883441258,0.207437051859263,0.134232792133547
Bristol County,2004,66875,0.635235732009926,0.147174770039422,0.118568232662192
Bristol County,2004,55719,0.64712389380531,0.217738151102769,0.176767676767677
Bristol County,2006,66174,0.65729234793983,0.246410858783607,0.151081916537867
Bristol County,2010,22500,0.506960556844548,0.172586293146573,0.135135135135135
Bristol County,2007,39531,0.631211857018309,0.215611974232664,0.061804008908686
Bristol County,2000,102765,0.821881254169446,0.17804960924227,0.129455445544554
Bristol County,2010,86739,0.625902527075812,0.187077933929549,0.253212396069539
