id,longitude,latitude
7837202,-71.06346,42.36017
7854569,-71.15136,42.29402
7854872,-71.06346,42.36017
7856208,-71.07256,42.34203
7868209,-71.12703,42.35026
7880828,-71.03034,42.37747
7900936,-71.12412,42.24179
7910223,-71.1004,42.31689
7911936,-71.06346,42.36017
7913309,-71.06109,42.35527
7916575,-71.07633,42.34441
7920759,-71.06599,42.35886
7927765,-71.05963,42.32427
7933149,-71.05567,42.34305
7934491,-71.05936,42.32485
7939556,-71.05797,42.32586
7949859,-71.05983,42.32456
7965521,-71.07469,42.34479
7984226,-71.05765,42.36388
8014642,-71.09757,42.32554
8014683,-71.05705,42.35177
8055839,-71.05514,42.33651
8063815,-71.10137,42.34548
8065282,-71.03337,42.37497
8067585,-71.11423,42.30513
8081699,-71.07822,42.32342
8081935,-71.10115,42.3447
8082512,-71.07633,42.34441
8097453,-71.10227,42.34387
8112652,-71.1374,42.35503
8162168,-71.0993,42.34472
8163273,-71.10062,42.34476
8164146,-71.09945,42.3434
8164953,-71.09931,42.34454
8165898,-71.10128,42.34338
8170181,-71.06842,42.35936
8187052,-71.10012,42.34586
8206536,-71.07633,42.34441
8224214,-71.1513,42.34057
8227206,-71.05627,42.36459
8231382,-71.03634,42.37594
8271384,-71.05173,42.34306
8283433,-71.11899,42.31102
8325544,-71.10203,42.34535
8334845,-71.09986,42.34302
8335210,-71.10175,42.34472
8336609,-71.10144,42.34507
8354938,-71.09929,42.31466
8381472,-71.0798,42.34309
8390793,-71.05679,42.36652
8402408,-71.07748,42.33691
8403945,-71.07633,42.34441
8442940,-71.06338,42.37868
8458210,-71.05437,42.36778
8490356,-71.11465,42.25162
8518237,-71.15942,42.341
8523157,-71.06343,42.31507
8552338,-71.13356,42.36022
8553163,-71.08065,42.34563
8584276,-71.08681,42.35032
8596566,-71.07341,42.34475
8607856,-71.13539,42.34807
8624898,-71.0318,42.37574
8634599,-71.11184,42.31063
8645254,-71.11937,42.2597
8714682,-71.1221,42.35385
8720718,-71.10721,42.3168
8732121,-71.06346,42.36017
8734707,-71.09185,42.32974
8735827,-71.09309,42.32945
8747720,-71.07022,42.3584
8774600,-71.07017,42.36241
8801250,-71.10385,42.31162
8815738,-71.09211,42.32757
8859689,-71.02989,42.37575
8884103,-71.06417,42.36048
8904297,-71.07875,42.2709
8904546,-71.07947,42.27043
8904656,-71.07757,42.27204
8908145,-71.11257,42.31026
8923817,-71.11254,42.30907
8924562,-71.06112,42.35198
8947232,-71.06829,42.28959
9018434,-71.06222,42.29005
9041513,-71.10089,42.34429
9078998,-71.07008,42.35867
9110708,-71.12556,42.35317
9114896,-71.15954,42.35389
9130532,-71.10353,42.34753
9133627,-71.06346,42.36017
9145242,-71.03299,42.3763
9148781,-71.07305,42.34299
9166393,-71.09637,42.32585
9169272,-71.06552,42.35964
9216838,-71.12692,42.35437
9218312,-71.12823,42.28907
9231486,-71.09011,42.34938
9301075,-71.14423,42.2779
9327506,-71.07951,42.3452
9340410,-71.14423,42.2779
9349614,-71.10594,42.3064
9349646,-71.10567,42.30571
9382898,-71.03956,42.37914
9393163,-71.09526,42.35076
9404451,-71.06508,42.37645
9407895,-71.09617,42.3338
9448243,-71.08827,42.34585
9473816,-71.07941,42.35192
9493951,-71.06248,42.28992
9494098,-71.06248,42.28992
9494212,-71.06248,42.28992
9494511,-71.06248,42.28992
9494772,-71.07071,42.3625
9507164,-71.05738,42.34332
9532771,-71.11357,42.32324
9541295,-71.08846,42.34622
