listing_id,date
15471042,2019-07-18
15471042,2019-07-29
15471042,2019-08-19
15471042,2019-09-07
15471042,2019-09-25
15471042,2019-10-07
15471042,2019-10-10
15471042,2019-10-12
15471042,2019-10-27
15471042,2019-10-29
15471042,2019-12-04
15481668,2019-04-15
15481668,2019-05-18
15481668,2019-05-20
15481668,2019-06-06
15481668,2019-07-31
15481668,2019-10-22
15483912,2019-01-11
15483912,2019-01-14
15483912,2019-02-18
15483912,2019-02-24
15483912,2019-03-08
15483912,2019-03-16
15483912,2019-03-30
15483912,2019-04-11
15483912,2019-04-16
15483912,2019-04-23
15483912,2019-04-28
15483912,2019-05-02
15483912,2019-05-08
15483912,2019-05-09
15483912,2019-05-15
15483912,2019-05-17
15483912,2019-05-23
15483912,2019-05-31
15483912,2019-06-05
15483912,2019-06-05
15483912,2019-06-08
15483912,2019-06-13
15483912,2019-06-21
15483912,2019-06-29
15483912,2019-07-15
15483912,2019-07-30
15483912,2019-08-03
15483912,2019-08-09
15483912,2019-08-13
15483912,2019-08-16
15483912,2019-08-25
15483912,2019-08-30
15483912,2019-09-06
15483912,2019-10-09
15483912,2019-10-18
15483912,2019-10-20
15483912,2019-10-23
15483912,2019-10-27
15483912,2020-01-10
15483912,2020-01-17
15483912,2020-03-01
15504162,2019-01-01
15504162,2019-01-04
15504162,2019-01-05
15504162,2019-01-06
15504162,2019-01-07
15504162,2019-01-08
15504162,2019-01-16
15504162,2019-01-18
15504162,2019-02-06
15504162,2019-02-13
15504162,2019-02-14
15504162,2019-02-15
15504162,2019-02-16
15504162,2019-02-19
15504162,2019-02-23
15504162,2019-02-24
15504162,2019-02-25
15504162,2019-02-28
15504162,2019-03-01
15504162,2019-03-02
15504162,2019-03-04
15504162,2019-03-05
15504162,2019-03-08
15504162,2019-03-09
15504162,2019-03-10
15504162,2019-03-12
15504162,2019-03-14
15504162,2019-03-25
15504162,2019-03-27
15504162,2019-03-29
15504162,2019-03-30
15504162,2019-03-31
15504162,2019-04-02
15504162,2019-04-07
15504162,2019-04-08
15504162,2019-04-12
15504162,2019-05-15
15504162,2019-05-17
15504162,2019-05-19
15504162,2019-06-02
15504162,2019-06-07
15504162,2019-06-09
15504162,2019-06-18
15504162,2019-06-26
15504162,2019-06-27
15504162,2019-06-28
15504162,2019-06-29
15504162,2019-06-30
15504162,2019-07-12
15504162,2019-07-13
15504162,2019-07-17
15504162,2019-07-18
15504162,2019-07-30
15504162,2019-07-31
15504162,2019-08-10
15504162,2019-08-22
15504162,2019-08-25
15504162,2019-09-01
15504162,2019-09-09
15504162,2019-09-10
15504162,2019-09-12
15504162,2019-09-15
15504162,2019-09-26
15504162,2019-09-30
15504162,2019-10-07
15504162,2019-10-18
15504162,2019-10-20
15504162,2019-10-22
15504162,2019-10-23
15504162,2019-10-26
15504162,2019-10-30
15504162,2019-11-08
15504162,2019-11-10
15504162,2019-11-11
15504162,2019-11-16
15504162,2019-11-17
15504162,2019-11-29
15504162,2019-12-01
15517432,2019-01-27
15517432,2019-02-18
15517432,2019-02-24
15517432,2019-02-28
15517432,2019-03-07
15517432,2019-03-13
15517432,2019-03-15
15517432,2019-03-21
15517432,2019-03-23
15517432,2019-03-26
15517432,2019-04-06
15517432,2019-04-09
15517432,2019-04-11
15517432,2019-04-13
15517432,2019-04-16
15517432,2019-04-19
15517432,2019-04-21
15517432,2019-04-27
15517432,2019-05-04
15517432,2019-05-06
15517432,2019-05-08
15517432,2019-05-13
15517432,2019-05-27
15517432,2019-05-30
15517432,2019-06-10
15517432,2019-06-14
15517432,2019-06-29
15517432,2019-07-03
15517432,2019-07-05
15517432,2019-07-09
15517432,2019-07-11
15517432,2019-07-16
15517432,2019-07-19
15517432,2019-08-17
15517432,2019-08-18
15517432,2019-08-21
15517432,2019-08-25
