id,neighborhood,room_type,price,minimum_nights,availability_365,host_id
36108622,Allston,Private room,55,30,72,82946167
36112527,West Roxbury,Entire home/apt,170,1,73,8015347
36113606,Allston,Private room,100,2,112,18409308
36114933,Allston,Private room,100,2,120,18409308
36143286,East Boston,Entire home/apt,200,2,357,271849582
36145837,South Boston,Entire home/apt,299,91,180,261664879
36165607,Dorchester,Private room,75,1,317,272001812
36179054,Downtown,Entire home/apt,164,32,135,26988
36207589,Dorchester,Private room,75,28,88,80799606
36222738,Allston,Entire home/apt,279,2,158,272437417
36233245,East Boston,Entire home/apt,170,1,217,272522012
36237250,South End,Private room,109,1,54,270119796
36259060,Jamaica Plain,Shared room,35,1,365,261924568
36263543,Fenway,Private room,99,91,90,260306464
36268106,Allston,Private room,78,2,132,32304279
36269353,Downtown,Private room,10000,1,318,266560394
36269383,East Boston,Entire home/apt,200,2,252,101020460
36269751,Downtown,Private room,10000,1,308,266560394
36277068,Downtown,Entire home/apt,299,1,168,212359760
36282491,South End,Private room,129,1,55,270119796
36299257,Beacon Hill,Entire home/apt,213,32,289,107434423
36299453,Beacon Hill,Entire home/apt,130,32,238,107434423
36304071,Back Bay,Entire home/apt,150,2,30,273024601
36318160,Dorchester,Private room,50,1,344,33187416
36321848,Roxbury,Entire home/apt,350,91,123,247641760
36331980,Back Bay,Entire home/apt,119,32,124,107434423
36349783,Downtown,Private room,109,2,71,133407298
36370563,Charlestown,Entire home/apt,275,2,319,3029783
36388582,Jamaica Plain,Shared room,40,1,365,261924568
36423296,Back Bay,Entire home/apt,136,91,179,273851969
36439921,Jamaica Plain,Private room,42,29,297,209395207
36483254,Downtown,Private room,109,2,68,133407298
36483768,West End,Entire home/apt,270,1,68,133407298
36518454,Jamaica Plain,Shared room,35,1,365,261924568
36527382,Brighton,Private room,69,91,0,22800940
36528015,Roslindale,Entire home/apt,90,1,6,63575
36529493,Brighton,Private room,100,91,0,112783203
36551230,Roxbury,Entire home/apt,250,2,271,2964887
36558608,Beacon Hill,Private room,1000,1,289,270304636
36558814,West End,Private room,1000,1,324,270304636
36559003,Beacon Hill,Private room,1000,1,319,270304636
36559156,Beacon Hill,Private room,1000,1,323,270304636
36559340,Beacon Hill,Private room,1000,1,320,270304636
36559632,Beacon Hill,Private room,1000,1,304,270304636
36565227,South Boston,Entire home/apt,86,28,66,1849529
36585702,Beacon Hill,Entire home/apt,191,32,109,107434423
36621324,Brighton,Entire home/apt,125,28,241,266312920
36621326,Bay Village,Entire home/apt,180,28,283,266312920
36622151,Brighton,Entire home/apt,185,30,172,266312920
36622810,Charlestown,Entire home/apt,200,1,179,65820663
36630748,East Boston,Private room,85,1,86,1407005
36636807,Brighton,Private room,79,91,179,251933716
36640907,South End,Entire home/apt,150,1,153,261436898
36664626,South Boston Waterfront,Entire home/apt,299,91,364,154342968
36687285,South End,Entire home/apt,200,91,0,463127
36700174,Downtown,Entire home/apt,459,1,190,275849638
36720154,Roxbury,Private room,87,91,319,247641760
36733785,East Boston,Private room,120,1,12,15943555
36746220,Fenway,Entire home/apt,185,32,111,107434423
36758550,Jamaica Plain,Private room,160,1,359,261924568
36760583,Dorchester,Private room,95,1,50,265284433
36760873,Dorchester,Private room,80,1,50,265284433
36761473,Dorchester,Private room,77,1,40,265284433
36766020,Brighton,Private room,79,91,364,251933716
36766327,East Boston,Entire home/apt,179,2,110,44686100
36770685,Downtown,Entire home/apt,157,1,194,275849638
36771929,Downtown,Entire home/apt,239,1,195,275849638
36775500,Dorchester,Entire home/apt,295,1,33,265284433
36782969,Beacon Hill,Entire home/apt,210,32,230,107434423
36788751,Downtown,Entire home/apt,500,2,198,275849638
36789366,Downtown,Entire home/apt,333,2,184,275849638
36789736,Downtown,Entire home/apt,303,2,187,275849638
36790111,Downtown,Entire home/apt,450,1,192,275849638
36791709,Downtown,Entire home/apt,600,2,180,275849638
36792091,Downtown,Entire home/apt,312,2,187,275849638
36801089,Fenway,Entire home/apt,987,3,325,275849638
36829501,Fenway,Entire home/apt,84,91,364,38997
36881315,North End,Entire home/apt,403,2,191,275849638
36884572,Downtown,Entire home/apt,450,1,189,275849638
36885714,Fenway,Entire home/apt,500,1,180,275849638
36911216,Allston,Entire home/apt,269,1,133,46297394
36918004,Roxbury,Private room,104,91,319,247641760
36920373,Roxbury,Private room,104,91,319,247641760
36921988,Roxbury,Private room,104,91,74,247641760
36947453,Charlestown,Private room,82,1,6,34126897
36969483,Chinatown,Entire home/apt,199,2,165,277913848
36977405,Dorchester,Entire home/apt,105,1,76,29218948
37012280,Downtown,Private room,149,1,328,177535046
37013845,Mission Hill,Entire home/apt,209,15,359,30283594
37021350,Dorchester,Private room,60,1,157,2707695
37068313,South Boston,Entire home/apt,157,32,361,107434423
37092569,Roxbury,Private room,75,2,22,266009
37115887,Back Bay,Private room,149,1,356,177535046
37116546,Back Bay,Entire home/apt,399,2,326,177535046
37151821,Beacon Hill,Entire home/apt,180,2,329,224829568
37152036,Beacon Hill,Entire home/apt,221,2,363,224829568
37154500,Back Bay,Entire home/apt,600,2,175,275849638
37171429,Allston,Private room,62,2,226,179930022
37180881,Back Bay,Entire home/apt,142,28,90,279780853
37182455,Dorchester,Private room,90,2,336,39266840
37184116,South Boston,Entire home/apt,145,2,10,19406410
37184809,Chinatown,Entire home/apt,287,2,145,277913848
37186894,Dorchester,Private room,75,2,357,39266840
37204878,Back Bay,Entire home/apt,400,91,97,8534462
37204986,Back Bay,Entire home/apt,400,91,93,8534462
37209442,Hyde Park,Entire home/apt,125,91,180,280065823
37253265,Beacon Hill,Entire home/apt,191,2,361,224829568
37253472,Beacon Hill,Entire home/apt,176,2,301,224829568
37280981,Mission Hill,Entire home/apt,245,21,184,30283594
37296051,Back Bay,Entire home/apt,120,91,0,280778187
37310884,West End,Entire home/apt,200,32,318,107434423
37340024,Downtown,Entire home/apt,218,32,335,107434423
37353570,North End,Entire home/apt,195,2,336,45455727
37367776,South Boston,Private room,150,2,163,270846829
37386681,Mission Hill,Entire home/apt,299,3,321,281602481
37393572,Dorchester,Entire home/apt,129,1,287,92721057
37413765,Allston,Private room,47,2,245,179930022
37425046,Dorchester,Entire home/apt,100,2,0,41888488
37447912,South End,Private room,155,2,48,18068167
37459877,Dorchester,Entire home/apt,300,3,152,167556315
37461678,Roslindale,Private room,50,2,158,82861960
37487261,Jamaica Plain,Private room,85,3,159,142465786
37502601,Jamaica Plain,Entire home/apt,135,1,81,102875095
37535057,Dorchester,Entire home/apt,189,2,96,744329
37568228,Allston,Private room,47,2,186,179930022
37569179,Allston,Private room,47,2,209,179930022
37569294,Allston,Private room,47,2,222,179930022
37570017,Allston,Private room,47,2,198,179930022
37570139,Allston,Private room,50,2,208,179930022
37570296,Allston,Private room,47,2,227,179930022
37583345,South Boston,Entire home/apt,158,91,0,41414501
37589402,East Boston,Private room,70,3,40,8958031
37602939,Downtown,Entire home/apt,199,91,163,8534462
37630538,Back Bay,Entire home/apt,205,2,88,40508782
37655502,South Boston,Entire home/apt,400,2,93,284535883
37683530,Dorchester,Entire home/apt,125,2,155,3843462
37686932,Dorchester,Private room,75,2,347,39266840
37705562,Jamaica Plain,Shared room,60,1,365,261924568
37706731,South Boston Waterfront,Entire home/apt,220,32,250,107434423
37709158,Back Bay,Entire home/apt,139,32,319,107434423
37709576,North End,Entire home/apt,145,31,174,697401
37718326,Downtown,Entire home/apt,300,91,365,275833371
37719273,South Boston,Entire home/apt,112,30,52,224829568
37744884,Bay Village,Private room,124,1,230,285344759
37748817,Brighton,Private room,55,91,365,200455160
37749165,Downtown,Entire home/apt,325,91,358,275833371
37768013,Roxbury,Private room,75,1,55,12982278
37769890,Mission Hill,Private room,89,91,0,41932249
37775857,North End,Entire home/apt,195,2,339,45455727
37784404,Roxbury,Entire home/apt,150,91,311,285904748
37818679,Beacon Hill,Entire home/apt,197,60,213,107434423
37823144,Jamaica Plain,Entire home/apt,150,1,176,187813188
37831719,Chinatown,Entire home/apt,239,2,186,277913848
37834744,South Boston Waterfront,Entire home/apt,70,91,90,16865734
37835305,Chinatown,Entire home/apt,298,2,134,277913848
37840842,Brighton,Entire home/apt,99,91,365,84799963
37840971,Brighton,Private room,69,91,365,84799963
37841371,South Boston Waterfront,Entire home/apt,169,2,138,133407298
37853806,Bay Village,Private room,124,2,0,285344759
37885254,Dorchester,Entire home/apt,250,2,83,224040048
37888958,Back Bay,Private room,129,2,225,285344759
37889446,Bay Village,Entire home/apt,170,2,4,285344759
37912471,Charlestown,Entire home/apt,800,91,363,27180387
37927528,Roxbury,Private room,55,91,190,814298
37927764,Roxbury,Private room,50,91,185,814298
37927954,Roxbury,Private room,50,91,130,814298
37928099,Roxbury,Private room,60,91,205,814298
37931130,Jamaica Plain,Private room,45,29,218,209395207
37942966,Roxbury,Private room,67,2,63,188939923
37956294,East Boston,Entire home/apt,178,32,364,107434423
37968399,Dorchester,Private room,75,1,301,272001812
37968480,Dorchester,Private room,75,1,334,272001812
38018931,Beacon Hill,Entire home/apt,192,2,324,224829568
38021735,Back Bay,Entire home/apt,149,1,131,260643536
38022947,East Boston,Entire home/apt,180,28,22,212237835
38026865,South Boston,Private room,62,91,256,26704689
38035941,Allston,Private room,52,29,175,38336262
38088325,Allston,Entire home/apt,133,1,162,18110188
38100230,East Boston,Entire home/apt,143,91,81,287965006
38106963,Back Bay,Entire home/apt,399,1,85,212359760
38127095,Brighton,Entire home/apt,109,91,0,84799963
38127199,South Boston,Private room,175,2,167,270846829
38127306,Allston,Entire home/apt,133,1,162,18110188
