id,neighborhood,room_type,price,longitude,latitude
2892825,Roxbury,Entire home/apt,450,-71.08543,42.31018
2931165,Mattapan,Private room,49,-71.09377,42.2795
2931271,Mattapan,Private room,139,-71.0941,42.281
2931870,Mattapan,Private room,72,-71.09527,42.27921
2943438,Fenway,Entire home/apt,175,-71.09295,42.35042
2963419,Jamaica Plain,Private room,95,-71.11687,42.31804
3068453,Downtown,Entire home/apt,175,-71.06418,42.35188
3094942,Dorchester,Private room,65,-71.05745,42.31912
3164650,Hyde Park,Entire home/apt,91,-71.13151,42.23597
3193484,Dorchester,Private room,65,-71.06921,42.28819
3229255,Roslindale,Entire home/apt,125,-71.13354,42.28703
3294152,Dorchester,Entire home/apt,120,-71.06214,42.31503
3302294,Back Bay,Entire home/apt,175,-71.0826,42.35258
3309941,Fenway,Entire home/apt,298,-71.1013,42.34411
3343428,Roxbury,Private room,95,-71.09275,42.32953
3344322,Dorchester,Private room,70,-71.0617,42.31322
3377100,Beacon Hill,Entire home/apt,275,-71.07297,42.35669
3414993,Downtown,Entire home/apt,550,-71.06816,42.35155
3441982,Roxbury,Entire home/apt,120,-71.09432,42.31943
3457722,Brighton,Entire home/apt,260,-71.15949,42.35457
3463914,Back Bay,Entire home/apt,248,-71.08826,42.35049
3493840,Jamaica Plain,Private room,98,-71.10719,42.305
3520353,Beacon Hill,Entire home/apt,288,-71.06304,42.3578
3521944,West Roxbury,Entire home/apt,119,-71.15829,42.29714
3522237,Dorchester,Private room,42,-71.08273,42.30582
3539510,Dorchester,Entire home/apt,154,-71.06094,42.32213
3544343,Downtown,Entire home/apt,100,-71.06153,42.35844
3575220,Roslindale,Private room,50,-71.13587,42.28028
3593290,Jamaica Plain,Entire home/apt,325,-71.11869,42.3089
3602379,Roxbury,Entire home/apt,169,-71.09457,42.32909
3628320,Dorchester,Entire home/apt,125,-71.05949,42.29781
3656168,Roxbury,Private room,38,-71.08,42.31676
3677662,Allston,Private room,70,-71.13072,42.35573
3693850,Jamaica Plain,Private room,88,-71.11176,42.29899
3705824,Roxbury,Private room,33,-71.08,42.31676
3749523,Charlestown,Entire home/apt,250,-71.06333,42.37191
3783090,Fenway,Entire home/apt,179,-71.10453,42.34496
3820516,Charlestown,Private room,210,-71.06641,42.37754
3890373,Beacon Hill,Entire home/apt,225,-71.0657,42.35764
3903324,Fenway,Entire home/apt,213,-71.1013,42.34411
3914363,Fenway,Entire home/apt,213,-71.1013,42.34411
3930872,Allston,Entire home/apt,108,-71.11964,42.36509
3957602,Jamaica Plain,Private room,85,-71.10613,42.31168
3965313,East Boston,Private room,52,-71.00302,42.38679
3968797,Roslindale,Private room,85,-71.13134,42.29111
3969526,South End,Entire home/apt,469,-71.07395,42.33763
3985462,Back Bay,Entire home/apt,195,-71.08962,42.3499
4000384,Jamaica Plain,Private room,120,-71.0991,42.31633
4040151,Fenway,Entire home/apt,298,-71.1013,42.34411
4075898,Downtown,Entire home/apt,289,-71.06131,42.35448
4085362,Roslindale,Private room,85,-71.14032,42.28175
4089940,North End,Entire home/apt,229,-71.05268,42.36596
4090224,South Boston,Entire home/apt,265,-71.05488,42.33502
4105704,Jamaica Plain,Entire home/apt,125,-71.11491,42.30236
4118162,Downtown,Entire home/apt,279,-71.06134,42.35631
4119345,Jamaica Plain,Entire home/apt,200,-71.1091,42.31162
4135172,Downtown,Entire home/apt,239,-71.06301,42.35176
4148586,Back Bay,Entire home/apt,225,-71.07272,42.3533
4150640,North End,Entire home/apt,259,-71.0524,42.36739
4177233,Dorchester,Private room,99,-71.05789,42.31825
4223387,Jamaica Plain,Private room,75,-71.10003,42.31739
4233242,Jamaica Plain,Private room,98,-71.10931,42.313
4257929,Fenway,Entire home/apt,250,-71.09322,42.34962
4263736,Roxbury,Private room,91,-71.09308,42.32943
4275846,Downtown,Entire home/apt,200,-71.06408,42.35123
4278067,South End,Entire home/apt,175,-71.0769,42.34067
4291607,Brighton,Entire home/apt,90,-71.15237,42.33678
4294557,South End,Entire home/apt,280,-71.07563,42.33814
4315428,East Boston,Private room,100,-71.00386,42.39067
4315439,East Boston,Private room,170,-71.00268,42.38921
4348422,Jamaica Plain,Private room,150,-71.11171,42.31158
4364925,South End,Entire home/apt,300,-71.07704,42.34094
4364989,South End,Entire home/apt,175,-71.07607,42.34128
4377247,Back Bay,Entire home/apt,259,-71.08154,42.35469
4410765,Brighton,Entire home/apt,138,-71.14827,42.35365
4445906,Chinatown,Entire home/apt,312,-71.06243,42.35184
4460532,Roxbury,Private room,92,-71.09265,42.32821
4461111,Roslindale,Private room,50,-71.13671,42.27897
4461613,Beacon Hill,Entire home/apt,150,-71.06346,42.36017
4461846,South End,Entire home/apt,150,-71.07633,42.34441
4461901,South End,Entire home/apt,150,-71.07644,42.34447
4467841,West End,Entire home/apt,289,-71.06928,42.36452
4489920,West End,Entire home/apt,209,-71.06827,42.36429
4500409,Back Bay,Entire home/apt,150,-71.08264,42.34982
4510513,Downtown,Entire home/apt,259,-71.05977,42.35592
4523234,Downtown,Entire home/apt,239,-71.06323,42.35184
4526384,Allston,Entire home/apt,550,-71.12937,42.35768
4530670,West Roxbury,Private room,38,-71.16148,42.27175
4555637,Roxbury,Private room,63,-71.09341,42.32961
4560053,Roxbury,Entire home/apt,269,-71.09069,42.32405
4566095,South End,Entire home/apt,110,-71.07304,42.34301
4568116,Roxbury,Entire home/apt,130,-71.09199,42.32953
4573238,North End,Entire home/apt,159,-71.05259,42.36424
4573388,North End,Entire home/apt,159,-71.05259,42.36424
4577188,Fenway,Entire home/apt,85,-71.09299,42.34715
4580825,North End,Entire home/apt,89,-71.05145,42.36322
4583526,Jamaica Plain,Entire home/apt,195,-71.11553,42.30455
4586681,Jamaica Plain,Private room,90,-71.11295,42.31483
4593974,Roxbury,Private room,36,-71.08,42.31676
4593985,Roxbury,Private room,36,-71.08,42.31676
4602191,West End,Entire home/apt,310,-71.06928,42.36452
4614037,East Boston,Entire home/apt,250,-71.03406,42.37911
4623114,South End,Entire home/apt,150,-71.07633,42.34441
4624582,Roxbury,Private room,35,-71.08,42.31676
4625517,Mission Hill,Private room,100,-71.1065,42.33471
4630071,Brighton,Entire home/apt,49,-71.15592,42.34425
4632511,Beacon Hill,Entire home/apt,305,-71.06521,42.36114
4652263,Brighton,Entire home/apt,250,-71.1596,42.33925
4662379,Brighton,Entire home/apt,450,-71.1554,42.34771
4670285,Brighton,Private room,65,-71.16348,42.34919
4710583,Allston,Private room,41,-71.13535,42.35977
4737304,Brighton,Private room,65,-71.1645,42.34998
4755586,Mattapan,Private room,24,-71.08145,42.2767
4757808,Beacon Hill,Entire home/apt,200,-71.07261,42.35588
4810824,East Boston,Entire home/apt,99,-71.03704,42.3803
4909590,Allston,Entire home/apt,99,-71.13328,42.35049
4917583,West End,Entire home/apt,195,-71.06782,42.36401
4922204,Roslindale,Entire home/apt,200,-71.12905,42.28214
4924009,Downtown,Entire home/apt,175,-71.06368,42.35178
4978467,Beacon Hill,Entire home/apt,250,-71.06549,42.36057
4995033,Beacon Hill,Entire home/apt,200,-71.06618,42.35975
5019306,South Boston,Entire home/apt,300,-71.02974,42.33484
5047340,Allston,Entire home/apt,88,-71.13342,42.35943
5049582,Jamaica Plain,Private room,60,-71.10784,42.31258
5054601,South Boston,Private room,76,-71.05802,42.33034
5088560,Roxbury,Entire home/apt,500,-71.08161,42.34002
5124772,Jamaica Plain,Entire home/apt,250,-71.10033,42.31868
5166870,Jamaica Plain,Entire home/apt,180,-71.10333,42.30503
5222368,Mission Hill,Private room,75,-71.10728,42.32896
5358934,Roxbury,Private room,42,-71.08001,42.31681
5364137,East Boston,Entire home/apt,62,-71.00581,42.38704
5434353,Roslindale,Entire home/apt,130,-71.13707,42.28626
5478135,East Boston,Entire home/apt,195,-71.0001,42.38364
5495267,Roxbury,Private room,36,-71.08,42.31676
5511911,North End,Entire home/apt,240,-71.05553,42.36509
5526487,Mission Hill,Entire home/apt,285,-71.09655,42.33085
5526514,Roxbury,Entire home/apt,159,-71.09443,42.32827
5581575,Back Bay,Entire home/apt,185,-71.0791,42.34549
5601743,Jamaica Plain,Private room,46,-71.10315,42.3119
5606682,Brighton,Entire home/apt,166,-71.14918,42.34152
5702292,Jamaica Plain,Private room,81,-71.10479,42.31315
5709298,Beacon Hill,Entire home/apt,148,-71.0672,42.35987
5718801,South End,Entire home/apt,150,-71.07633,42.34441
5718921,South End,Entire home/apt,300,-71.07628,42.34455
5719606,Charlestown,Entire home/apt,225,-71.05978,42.37456
5725804,Beacon Hill,Entire home/apt,130,-71.06556,42.35925
5726867,Roxbury,Private room,28,-71.0883,42.31206
5738018,Jamaica Plain,Entire home/apt,95,-71.10549,42.32499
5768819,South End,Entire home/apt,150,-71.07644,42.34447
5769127,South End,Entire home/apt,150,-71.07644,42.34447
5775139,Allston,Private room,70,-71.13165,42.35157
5781926,South Boston,Entire home/apt,250,-71.04651,42.33295
5782221,North End,Entire home/apt,300,-71.05424,42.36726
5806428,East Boston,Entire home/apt,110,-71.03102,42.38127
5813177,Fenway,Entire home/apt,62,-71.0872,42.34306
5822827,South End,Entire home/apt,198,-71.06977,42.34339
5825829,Fenway,Private room,125,-71.10466,42.34661
5834413,Fenway,Entire home/apt,186,-71.10204,42.3445
5844314,Dorchester,Private room,100,-71.05795,42.31776
5856633,South Boston,Entire home/apt,350,-71.04516,42.33138
5867761,South End,Private room,45,-71.06897,42.34311
5870922,Allston,Private room,69,-71.12633,42.3605
5882411,Jamaica Plain,Private room,88,-71.11176,42.29899
5884429,Roslindale,Private room,91,-71.13554,42.28658
5903001,Back Bay,Entire home/apt,300,-71.07757,42.35001
5927267,South Boston,Private room,64,-71.05802,42.33034
5932402,South End,Private room,100,-71.07026,42.34475
5940866,East Boston,Private room,75,-71.03354,42.37619
5967421,Allston,Private room,59,-71.12633,42.3605
5976821,South End,Shared room,95,-71.07021,42.34462
6006328,Mattapan,Entire home/apt,74,-71.09363,42.28189
6015995,West End,Entire home/apt,169,-71.06816,42.36373
6066455,Beacon Hill,Entire home/apt,600,-71.07094,42.35964
6069883,Roslindale,Private room,65,-71.13576,42.28531
6072693,Fenway,Entire home/apt,199,-71.09005,42.34634
6080461,Roxbury,Entire home/apt,159,-71.09406,42.33032
6119918,Brighton,Entire home/apt,80,-71.13753,42.34506
6131224,Hyde Park,Entire home/apt,200,-71.11387,42.26225
6179374,Allston,Private room,45,-71.13865,42.35489
6238463,Jamaica Plain,Private room,105,-71.11405,42.3159
6248970,Jamaica Plain,Private room,65,-71.10346,42.32172
6261296,West Roxbury,Private room,70,-71.15638,42.29019
6277566,Allston,Private room,230,-71.13064,42.36193
6296656,South Boston,Entire home/apt,240,-71.04523,42.33536
6300089,West Roxbury,Entire home/apt,245,-71.15372,42.28641
6310903,South Boston,Entire home/apt,375,-71.04507,42.33411
6317446,South Boston,Entire home/apt,240,-71.04523,42.33536
6317722,South Boston,Entire home/apt,125,-71.04523,42.33536
6326257,Beacon Hill,Entire home/apt,375,-71.07083,42.36013
6356533,Fenway,Entire home/apt,298,-71.10089,42.34429
6401859,Hyde Park,Entire home/apt,85,-71.11623,42.24652
6426364,South End,Entire home/apt,200,-71.07533,42.34175
6444303,South End,Private room,154,-71.07595,42.34232
6465075,Jamaica Plain,Entire home/apt,250,-71.1119,42.29716
6489209,South Boston,Private room,53,-71.05802,42.33034
6513924,Roslindale,Private room,45,-71.11973,42.28456
6576530,Roxbury,Entire home/apt,350,-71.08513,42.31134
6603827,Roslindale,Private room,50,-71.11648,42.28217
6609546,South Boston Waterfront,Private room,149,-71.04107,42.34719
6646604,Brighton,Entire home/apt,90,-71.14634,42.34109
6677469,Back Bay,Entire home/apt,395,-71.07884,42.34507
6685682,Back Bay,Entire home/apt,200,-71.08559,42.34809
6690605,Charlestown,Entire home/apt,200,-71.06329,42.37814
6716872,Brighton,Private room,200,-71.15143,42.33723
6741968,Downtown,Entire home/apt,129,-71.06179,42.35731
6746543,Chinatown,Entire home/apt,90,-71.06221,42.35159
